name,language,stars,forks,owner,created_at
meteor,JavaScript,44779,5253,meteor,2012-01-19T01:58:17Z
bruno,JavaScript,44667,2542,usebruno,2022-09-27T20:51:45Z
reactjs-interview-questions,JavaScript,44615,10368,sudheerj,2018-05-31T17:17:01Z
parcel,JavaScript,44025,2279,parcel-bundler,2017-08-07T16:36:47Z
pm2,JavaScript,43199,2716,Unitech,2013-05-21T03:25:25Z
desktop,JavaScript,42495,1533,zen-browser,2024-03-28T00:05:55Z
puter,JavaScript,42102,3846,HeyPuter,2024-03-03T01:44:32Z
swiper,JavaScript,41850,9660,nolimits4web,2012-03-14T19:11:45Z
yarn,JavaScript,41507,2726,yarnpkg,2016-01-19T17:39:16Z
system_prompts_leaks,JavaScript,41222,6834,asgeirtj,2025-05-03T02:43:56Z
nw.js,JavaScript,41181,3855,nwjs,2012-01-04T06:21:10Z
react-bits,JavaScript,40411,1848,DavidHDev,2024-08-06T06:54:54Z
awesome-cursorrules,JavaScript,39850,3397,PatrickJS,2024-09-16T15:38:38Z
video.js,JavaScript,39776,7500,videojs,2010-05-14T18:45:10Z
phaser,JavaScript,39722,7135,phaserjs,2013-04-12T12:27:51Z
materialize,JavaScript,38868,4632,Dogfalo,2014-09-12T19:35:38Z
preact,JavaScript,38673,2037,preactjs,2015-09-11T02:40:18Z
impress.js,JavaScript,38188,6593,impress,2011-12-28T22:23:19Z
ToolJet,JavaScript,37972,5087,ToolJet,2021-03-30T08:51:34Z
marked,JavaScript,36865,3538,markedjs,2011-07-24T13:15:51Z
fastify,JavaScript,36363,2699,fastify,2016-09-28T19:10:14Z
carbon,JavaScript,36027,1973,carbon-app,2017-06-16T02:50:28Z
koa,JavaScript,35712,3221,koajs,2013-07-20T18:53:45Z
awesome-react-native,JavaScript,35687,4018,jondot,2015-03-26T19:58:06Z
How-To-Ask-Questions-The-Smart-Way,JavaScript,35177,5834,ryanhanwu,2015-03-28T16:52:40Z
husky,JavaScript,35122,1086,typicode,2014-06-23T12:14:21Z
AnotherRedisDesktopManager,JavaScript,34366,2701,qishibo,2019-01-08T06:01:56Z
JavaScript,JavaScript,34182,5856,TheAlgorithms,2017-07-13T06:12:33Z
react-beautiful-dnd,JavaScript,33994,2715,atlassian,2017-08-09T03:37:15Z
learnGitBranching,JavaScript,33566,5982,pcottle,2012-08-13T22:36:09Z
brackets,JavaScript,33043,7479,adobe,2011-12-07T21:14:40Z
netron,JavaScript,33032,3124,lutzroeder,2010-12-26T12:53:43Z
gulp,JavaScript,32962,4148,gulpjs,2013-07-04T05:26:06Z
lottie-web,JavaScript,31885,2922,airbnb,2015-02-20T21:02:59Z
marketingskills,JavaScript,31833,5242,coreyhaines31,2026-01-15T19:45:23Z
docsify,JavaScript,31252,5811,docsifyjs,2016-11-20T07:55:43Z
jsPDF,JavaScript,31220,4802,parallax,2009-12-06T14:56:32Z
Sortable,JavaScript,31131,3731,SortableJS,2013-12-19T10:10:13Z
AI-Expert-Roadmap,JavaScript,31050,2582,AMAI-GmbH,2020-10-24T21:49:40Z
webtorrent,JavaScript,30944,2788,webtorrent,2013-10-15T08:16:40Z
layui,JavaScript,30535,7385,layui,2015-09-22T08:12:03Z
homepage,JavaScript,30477,1950,gethomepage,2022-08-24T07:29:42Z
lighthouse,JavaScript,30307,9725,GoogleChrome,2016-03-08T01:03:11Z
particles.js,JavaScript,30213,4828,VincentGarreau,2014-09-06T14:29:47Z
plyr,JavaScript,29830,3107,sampotts,2015-02-14T11:33:07Z
immer,JavaScript,28944,871,immerjs,2017-12-29T12:25:47Z
todomvc,JavaScript,28924,13746,tastejs,2011-06-03T19:56:33Z
SillyTavern,JavaScript,28839,5462,SillyTavern,2023-02-09T10:19:24Z
awesome-vscode,JavaScript,28704,1387,viatsko,2016-02-07T23:02:45Z
vuex,JavaScript,28351,9465,vuejs,2015-07-16T04:21:26Z
nginxconfig.io,JavaScript,28290,2049,digitalocean,2018-01-05T14:21:14Z
commander.js,JavaScript,28247,1751,tj,2011-08-14T21:33:58Z
async,JavaScript,28157,2377,caolan,2010-06-01T21:01:30Z
backbone,JavaScript,28105,5298,jashkenas,2010-09-30T19:41:28Z
live,JavaScript,28076,4200,fanmingming,2022-11-16T18:03:31Z
aos,JavaScript,28064,2633,michalsnik,2015-07-09T17:49:00Z
yapi,JavaScript,27721,4825,YMFE,2016-05-30T09:09:09Z
agent-skills,JavaScript,27539,2498,vercel-labs,2025-12-08T19:10:06Z
mongoose,JavaScript,27482,3991,Automattic,2010-04-06T21:39:05Z
javascript-interview-questions,JavaScript,27447,7650,sudheerj,2017-10-29T05:40:24Z
